MicroRNA	Sample_P004	Sample_P018	Sample_P010	Sample_P020	Sample_P015	Sample_P005	Sample_P007	Sample_P011	Sample_P009	Sample_P001	Sample_P006	Sample_P016	Sample_P019	Sample_P013	Sample_P012	Sample_P014	Sample_P017	Sample_P003	Sample_P002	Sample_P008
hsa-miR-4710			1																	
hsa-miR-200a-5p	12	64	93	184	12	10	16	48	35		81	62	42	52	29	18	22	6	58	13
hsa-miR-943		2		1		1							1	1	1		1	1	1	
hsa-miR-6890-3p					1									1						
hsa-miR-3910	1		1								1									
hsa-let-7b-3p	94.5	248.5	159	211	104.5	203.5	124	345.5	140.5	98.5	132	129.5	149.5	267	127.5	292.5	148.5	266.5	235.5	88
hsa-miR-146b-3p	5	37	134	100	13	9	2	74	60	4	13	119	24	27	13	19	120	9	20	4
hsa-miR-885-5p	8	5	7	214	1	11	5	16	5		13	7		7	10	11	23	25	12	10
hsa-miR-1282															1					
hsa-miR-4715-3p							1													
hsa-miR-3124-5p												1	1							
hsa-miR-4731-5p			1			1										1				
hsa-miR-4750-5p				2														1		
hsa-miR-191-3p	1	2	3	4			2	3	1	1	1	3	1		2	2	3			
hsa-let-7g-3p	6	40	43	35	7	11	8	44	20	12	21	45	9	35	13	14	43	9	23	7
hsa-miR-1301-5p					1															
hsa-miR-551b-5p								1												
hsa-miR-3928-3p	1	5	5	1		1	1	5	4		1	5		1	3	3	2	3	1	
hsa-miR-769-5p	150	658	655	546	182	226	157	749	556	86	537	527	335	765	306	482	1017	217	544	137
hsa-miR-20a-3p		6	9	1		1	2	5	6		7	7		2	6	1	4	1	3	2
hsa-miR-19a-3p	104.5	1125	2134.5	781	177.5	108.5	126	742.5	937	34.5	719.5	1431	241.5	842.5	360	215	746.5	105.5	309.5	94
hsa-miR-381-5p	2	1	2	1	1	1	1	3	1		4			1	2		9	1	1	
hsa-miR-6787-3p			1										1							
hsa-miR-1915-3p							1					1								
hsa-miR-6741-3p			2	1	1	3	1	1		1				1	1	1		1	1	1
hsa-miR-7155-5p				1			1													
hsa-miR-6845-5p				1															1	
hsa-miR-603																			0.333333333333333	
hsa-miR-4505												1								
hsa-miR-32-5p	9	96	251	50	13	14	9	60	86	8	48	151	14	36	15	18	47	10	29	9
hsa-miR-4633-3p			1					1					1							
hsa-miR-5706			2					1							1		1			
hsa-miR-1273f		1	1	1				1				1								
hsa-miR-1301-3p	2	12	20	25	5	2	3	13	9		4	13	11	25	4	6	15	9	8	
hsa-miR-3938									1											
hsa-miR-7848-3p								1												
hsa-miR-371b-3p				1					1			1								
hsa-miR-7112-3p																			1	
hsa-miR-668-3p		1		1	1	1		2	1		2	1	1	1		1		2	3	1
hsa-miR-370-3p	4	14	16	16	4	10	2	9	9	2	7	7	13	11	2	3	34	10	5	3
hsa-miR-574-3p	332	573	427	1088	385	1267	574	1187	432	573	576	370	328	1353	663	1487	716	1871	1029	421
hsa-miR-23a-5p			1				2	2	1		1	4		1		1		1		
hsa-miR-6716-3p	1			1		1	1	6	1	1			1	2	3	1	2		2	1
hsa-miR-342-3p	404	1080	2470	1674	1041	1246	544	3538	3257	494	629	2257	1379	1860	607	2281	3375	1450	1565	379
hsa-miR-329-5p																		1		
hsa-miR-372-3p																	1			
hsa-miR-5587-5p		2	1		1			1					1	1	4	2				
hsa-miR-584-5p	8	59	94	15	5	13	11	44	21	1	52	52	11	56	35	22	44	14	44	12
hsa-miR-4479								1					1							
hsa-miR-4326	1	4		6		5	3	8	1	1		4	4	2	2	3	1	2		1
hsa-let-7b-5p	1698	10429.5	7974	6983.5	1926.5	3743.5	1649.5	12281	4779	1078	5431.5	5295.5	2571	7786	3654.5	5656	7259.5	4806.5	6376	1457
hsa-miR-542-5p		6	3	17	6	1	1	9	7	2	7	11	3	14	1	6	8		2	
hsa-miR-19b-3p	587.5	5126	5971.5	4989	852.5	954.5	721	3772.5	4013	210.5	3452.5	4313	1165.5	5200.5	1876	1292	4611.5	856.5	2199.5	713
hsa-miR-4255			1			1														
hsa-miR-675-5p	4		9		3	3	1	8			3	3		11	5	9	13	12	6	
